
ACTIVE VALIDATORS
account, handle, balance
0xab8071fddaacc1a48ca6901d87ad3d181f8bd344bc8defee1bc353cb26f2cefe, alanyoon,282225167307
0xd785eb2412263beb0dbbb6468f35a1a, ncontrol88,65779305086962
0xe202aa9b2cfdb96627531af17832f2ca, ncontrol88,17877429486349
0xa35ae41a5f1701fcb67f4e4cad59d259, ncontrol88,31970101107012
0x4d3dd09c797f5962bbd0afbc19e22b9, kamp,7876806176
0x79784b5981cc5407ba3bf9f7526f3f54, _easy123,53552074387075
0x665ec87027a8022b8b5470239c898afe7d45e69712a43975f3bc1fcd1c645863, dlqsoftware,39941906820
0x2000fa5e04f476a50692ca1bb28e1629a4a642cf988cff27635550d85f9577a1, kd,464800
0xd578395a5a130fcd0ff13ed6a1c5af37, bbk8530,1547093801179
0xaaa0810d589f9681f0b793d567d3888ae38e7db2e842d29a2a9b8f59135e529a, borkd,18407561615
0x6bb062c9611aa91a3300eef90b9937863c5fd1781c0eebac6abfc5ae1e44118f, allen010101,2838087
0x193960de6f89b296f6c25046a97ce5e87405ac04d2d930c9ab57159076077d34, vistli,1008894800
0xb295da228c6808199d92dc813975755c, jack lin,74098746252648
0xd1cc0e59af9eb9d0ec6c592d42270de8a415633f74e1429b031b29afde1e40a8, brakod,22640701386
0xfdcf0ef094b962fb35997f4e2bcd4f27533b567bf8518f5b4f9400f47742be9b, lemonium,1739538942817
0xa737f0a84b15f05857d531068089cbb3c073f9f99361f829a76cc6879797d8cb, mr volt,36320497544
0xf2103cc8b36205aed79c8e5a441fc4e75af07d5e33325491f08a98f604b5fd78, blackgrouse,837915
0xb749845cf5931a9237ad672fbf501530d457de2f241eb2acfb789daa4f035f68, chrisb_2002,6301341
0x6ed9621b48683455219bd8d9db54210304ac1a5fd7c578d358e8e3202d82803a, gabyy_91,19860250925
0xe3d049469498319fe30b9aa3ac95d72be4c0f0eb8b436866e2e0b33334fc082a, blackgrouse,830400
0x744185aebd902421992147559f35eb937058ac74116fd6d1d6bc93ab95805aea, kryptikpanda,2036395734507
0x6ec6056a12fba4d82aa17f0a8005b5b8f044aef79519a60bf1769949a21caed, 0xslipk,1087000
0xc80696fa9d3d161261246d3fdbfd982402856dfe22ffc571b80c3acc67c2bda4, 0xslipk,1199035
0xabf767f204672cba607bc730acbc982872437d9d26c836a36f6c4f976bc59ca9, wuya51,9976400
